raceId,driverId,stop,lap,time,duration,milliseconds,totalStops
900,"154","1","1","17:09:56","17.255","17255","2"
900,"821","1","1","17:10:12","32.657","32657","2"
900,"815","1","1","17:10:14","25.541","25541","3"
901,"824","1","1","16:07:01","52.836","52836","1"
902,"818","1","1","18:06:44","33.895","33895","2"
905,"154","1","1","14:04:54","26.312","26312","2"
905,"16","1","1","14:04:55","33.207","33207","1"
906,"821","1","1","14:05:32","24.370","24370","3"
909,"825","1","1","14:05:24","25.859","25859","3"
911,"154","1","1","14:06:17","29.256","29256","3"
911,"824","1","1","14:06:49","25.362","25362","2"
915,"3","1","1","15:05:38","33.820","33820","1"
915,"13","1","1","15:05:45","29.912","29912","2"
916,"825","1","1","14:05:26","26.881","26881","2"
916,"807","1","1","14:05:32","33.427","33427","1"
916,"18","1","1","14:05:32","26.806","26806","2"
916,"821","1","1","14:05:34","25.007","25007","3"
916,"20","1","1","14:05:37","24.226","24226","4"
918,"154","1","1","17:05:39","16.120","16120","3"
926,"828","1","1","16:05:59","22.681","22681","3"
927,"813","1","1","15:06:15","37.289","37289","3"
931,"807","1","1","14:04:47","34.773","34773","2"
931,"13","1","1","14:05:03","42.934","42934","3"
932,"18","1","1","14:04:39","18.057","18057","2"
933,"826","1","1","14:04:37","28.632","28632","2"
934,"4","1","1","13:05:14","1:11.178","71178","3"
938,"831","1","1","14:05:00","25.761","25761","2"
938,"830","1","1","14:05:02","18.818","18818","3"
940,"815","1","1","14:05:29","25.041","25041","3"
940,"817","1","1","14:06:11","26.087","26087","2"
940,"13","1","1","14:06:55","34.166","34166","3"
941,"154","1","1","14:05:55","54.445","54445","1"
941,"830","1","1","14:06:46","37.334","37334","2"
942,"822","1","1","14:05:59","40.488","40488","2"
942,"154","1","1","14:06:27","27.621","27621","2"
942,"834","1","1","14:06:39","37.748","37748","3"
942,"4","1","1","14:06:40","31.987","31987","3"
943,"20","1","1","13:04:58","28.070","28070","2"
945,"4","1","1","17:05:39","44.990","44990","4"
948,"825","1","1","16:09:48","27.831","27831","3"
949,"807","1","1","18:05:30","31.931","31931","4"
950,"154","1","1","14:05:35","58.563","58563","4"
950,"8","1","1","14:05:39","31.134","31134","3"
950,"1","1","1","14:05:46","29.322","29322","5"
950,"831","1","1","14:06:25","36.854","36854","3"
951,"826","1","1","15:05:38","41.282","41282","2"
